1,"1/12/2018,11:22:27",picked up,in transit,52
2,"2/21/2016,9:20:17",picked up,in transit,24
3,"9/16/2002,10:33:22",picked up,in transit,183
4,"9/5/2005,12:16:36",picked up,in transit,12
5,"1/25/2009,9:21:51",picked up,in transit,54
6,"5/6/2004,16:05:57",picked up,in transit,200
7,"5/30/2002,8:27:58",picked up,in transit,5
8,"4/21/2018,8:20:46",picked up,in transit,43
9,"3/27/2016,15:58:15",picked up,in transit,18
10,"5/12/2015,13:48:45",picked up,in transit,101
11,"11/10/2016,14:12:09",picked up,in transit,21
12,"8/28/2002,13:54:21",picked up,in transit,42
13,"8/26/2017,13:02:42",picked up,in transit,182
14,"4/10/2013,9:51:02",picked up,in transit,7
15,"3/11/2017,11:15:41",picked up,in transit,51
16,"2/3/2013,12:58:39",picked up,in transit,108
17,"5/20/2009,15:42:12",picked up,in transit,45
18,"1/14/2016,8:07:13",picked up,in transit,195
19,"11/3/2001,9:08:03",picked up,in transit,44
20,"1/9/2003,14:39:26",picked up,in transit,91
21,"12/19/2003,16:28:06",picked up,in transit,134
22,"12/8/2017,14:58:02",picked up,in transit,54
23,"12/23/2002,14:03:30",picked up,in transit,117
24,"9/1/2009,9:25:28",picked up,in transit,149
25,"5/6/2014,12:08:47",picked up,in transit,78
26,"10/8/2010,16:20:32",picked up,in transit,145
27,"1/15/2015,14:25:05",picked up,in transit,160
28,"9/23/2006,14:19:05",picked up,in transit,189
29,"5/21/2017,13:39:42",picked up,in transit,188
30,"12/15/2014,12:48:08",picked up,in transit,172
31,"3/14/2014,11:17:49",picked up,in transit,18
32,"3/7/2007,16:10:20",picked up,in transit,55
33,"12/22/2017,14:19:31",picked up,in transit,128
34,"10/22/2006,13:57:13",picked up,in transit,7
35,"12/8/2003,13:36:42",picked up,in transit,134
36,"9/7/2001,9:53:35",picked up,in transit,166
37,"6/21/2015,16:01:57",picked up,in transit,56
38,"8/28/2007,10:11:41",picked up,in transit,52
39,"4/2/2008,9:20:19",picked up,in transit,20
40,"11/13/2014,12:36:12",picked up,in transit,140
41,"5/3/2014,13:15:05",picked up,in transit,87
42,"5/23/2010,11:02:51",picked up,in transit,164
43,"7/2/2004,13:46:00",picked up,in transit,52
44,"3/8/2010,11:55:26",picked up,in transit,138
45,"11/13/2006,15:19:36",picked up,in transit,25
46,"3/11/2011,10:49:47",picked up,in transit,121
47,"6/19/2015,16:05:14",picked up,in transit,62
48,"11/13/2008,13:23:41",picked up,in transit,12
49,"2/21/2017,9:51:04",picked up,in transit,158
50,"5/27/2001,8:29:23",picked up,in transit,162
51,"12/29/2010,16:18:27",picked up,in transit,46
52,"9/9/2002,15:58:15",picked up,in transit,134
53,"10/26/2015,9:32:13",picked up,in transit,100
54,"4/25/2014,15:01:33",picked up,in transit,111
55,"7/9/2005,10:45:24",picked up,in transit,168
56,"5/9/2006,15:23:19",picked up,in transit,149
57,"6/30/2016,14:02:01",picked up,in transit,79
58,"9/25/2007,15:22:16",picked up,in transit,58
59,"10/27/2001,11:39:37",picked up,in transit,17
60,"9/2/2011,13:28:15",picked up,in transit,140
61,"4/14/2007,9:06:11",picked up,in transit,67
62,"12/31/2012,15:04:19",picked up,in transit,111
63,"5/13/2008,14:17:57",picked up,in transit,157
64,"1/13/2008,11:16:13",picked up,in transit,185
65,"6/8/2012,13:16:43",picked up,in transit,67
66,"4/25/2004,13:24:33",picked up,in transit,70
67,"9/7/2009,14:49:33",picked up,in transit,168
68,"12/31/2008,12:21:42",picked up,in transit,119
69,"3/8/2007,16:08:55",picked up,in transit,84
70,"3/6/2011,11:48:42",picked up,in transit,157
71,"6/5/2009,9:16:28",picked up,in transit,82
72,"10/27/2012,11:30:49",picked up,in transit,74
73,"11/30/2011,8:20:12",picked up,in transit,147
74,"1/23/2003,12:17:21",picked up,in transit,10
75,"10/26/2009,12:34:22",picked up,in transit,91
76,"9/7/2001,16:19:08",picked up,in transit,174
77,"12/8/2009,8:14:13",picked up,in transit,8
78,"11/3/2018,10:55:53",picked up,in transit,134
79,"12/16/2006,11:07:19",picked up,in transit,17
80,"1/22/2002,8:31:25",picked up,in transit,196
81,"6/6/2018,16:40:33",picked up,in transit,14
82,"6/23/2015,16:00:05",picked up,in transit,88
83,"3/20/2012,14:43:16",picked up,in transit,137
84,"9/16/2017,9:15:34",picked up,in transit,79
85,"8/25/2007,15:12:09",picked up,in transit,101
86,"11/19/2016,11:46:35",picked up,in transit,155
87,"7/11/2017,8:07:25",picked up,in transit,16
88,"10/23/2012,12:53:44",picked up,in transit,40
89,"12/28/2011,9:11:14",picked up,in transit,144
90,"12/20/2013,10:04:04",picked up,in transit,48
91,"10/31/2003,13:06:12",picked up,in transit,47
92,"11/2/2008,16:40:50",picked up,in transit,108
93,"12/27/2011,8:31:17",picked up,in transit,128
94,"5/16/2010,8:51:14",picked up,in transit,52
95,"8/12/2004,15:03:25",picked up,in transit,107
96,"8/13/2005,12:36:37",picked up,in transit,11
97,"5/14/2015,14:20:20",picked up,in transit,17
98,"1/19/2015,9:30:43",picked up,in transit,189
99,"3/8/2003,16:30:15",picked up,in transit,159
